DATE,GDP
1994-01-01,501555.675000000000
1995-01-01,512471.175000000000
1996-01-01,525835.500000000000
1997-01-01,534421.725000000000
1998-01-01,527871.450000000000
1999-01-01,520213.200000000000
2000-01-01,526974.925000000000
2001-01-01,523279.000000000000
2002-01-01,516088.875000000000
2003-01-01,515622.150000000000
2004-01-01,520933.700000000000
2005-01-01,524275.400000000000
2006-01-01,526880.900000000000
2007-01-01,531696.225000000000
2008-01-01,520685.550000000000
2009-01-01,489557.925000000000
2010-01-01,500492.875000000000
2011-01-01,491643.950000000000
2012-01-01,495076.725000000000
2013-01-01,503454.450000000000
2014-01-01,513805.125000000000
2015-01-01,531359.725000000000
2016-01-01,535477.050000000000
2017-01-01,545963.175000000000
2018-01-01,547257.150000000000
